system:index,FIPS formula,Geographic Name,count,mean,year,.geo
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_887,19193,"Woodbury County, Iowa",248691,1397.499377,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_671,17149,"Pike County, Illinois",163007,1505.563331,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_681,17169,"Schuyler County, Illinois",21205,1612.730752,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_639,17085,"Jo Daviess County, Illinois",101321,1575.441885,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_677,17161,"Rock Island County, Illinois",86523,1555.113187,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_812,19043,"Clayton County, Iowa",156262,1543.716733,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_604,17015,"Carroll County, Illinois",343298,1560.848895,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_659,17125,"Mason County, Illinois",182410,1427.141404,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_653,17113,"McLean County, Illinois",118876,1601.975514,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_642,17091,"Kankakee County, Illinois",188050,1597.285773,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_695,17197,"Will County, Illinois",90016,1422.019181,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_646,17099,"LaSalle County, Illinois",199332,1712.492174,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_612,17031,"Cook County, Illinois",7565,1256.184614,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_645,17097,"Lake County, Illinois",23415,1360.975123,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_683,17173,"Shelby County, Illinois",162116,1548.750454,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_850,19119,"Lyon County, Iowa",143276,1519.108511,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_862,19143,"Osceola County, Iowa",95655,1257.725855,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_861,19141,"O'Brien County, Iowa",104757,1484.617448,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_808,19035,"Cherokee County, Iowa",160949,1511.38105,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_874,19167,"Sioux County, Iowa",321976,1556.29646,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_865,19149,"Plymouth County, Iowa",280634,1433.533585,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_857,19133,"Monona County, Iowa",255392,1360.261153,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_837,19093,"Ida County, Iowa",94053,1498.628457,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_814,19047,"Crawford County, Iowa",180908,1446.57366,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_873,19165,"Shelby County, Iowa",208824,1465.174478,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_868,19155,"Pottawattamie County, Iowa",318665,1473.999412,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_833,19085,"Harrison County, Iowa",230976,1432.645481,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_855,19129,"Mills County, Iowa",150831,1267.357668,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_826,19071,"Fremont County, Iowa",84882,1309.944947,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_663,17133,"Monroe County, Illinois",49963,1571.979332,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_603,17013,"Calhoun County, Illinois",7256,1698.4457,2001,
