system:index,FIPS formula,Geographic Name,count,mean,year,.geo
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_887,19193,"Woodbury County, Iowa",669773,412.8934856,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_671,17149,"Pike County, Illinois",309041,414.1998528,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_681,17169,"Schuyler County, Illinois",89178,423.2457136,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_639,17085,"Jo Daviess County, Illinois",84639,467.2089518,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_677,17161,"Rock Island County, Illinois",143390,438.5776963,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_812,19043,"Clayton County, Iowa",56650,429.7315321,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_604,17015,"Carroll County, Illinois",198824,450.3817747,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_659,17125,"Mason County, Illinois",464837,397.9595404,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_653,17113,"McLean County, Illinois",24617,438.493992,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_642,17091,"Kankakee County, Illinois",474469,456.056609,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_695,17197,"Will County, Illinois",298078,429.4729505,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_646,17099,"LaSalle County, Illinois",502736,480.9961667,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_612,17031,"Cook County, Illinois",12491,403.1310264,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_645,17097,"Lake County, Illinois",2,373.8123169,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_683,17173,"Shelby County, Illinois",169142,395.4196679,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_850,19119,"Lyon County, Iowa",697557,435.8307708,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_862,19143,"Osceola County, Iowa",537405,398.9796129,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_861,19141,"O'Brien County, Iowa",643956,432.1457489,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_808,19035,"Cherokee County, Iowa",417396,436.2484154,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_874,19167,"Sioux County, Iowa",902180,438.6769672,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_865,19149,"Plymouth County, Iowa",746638,421.0980861,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_857,19133,"Monona County, Iowa",564859,417.6395307,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_837,19093,"Ida County, Iowa",424565,450.7431693,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_814,19047,"Crawford County, Iowa",687409,433.5995723,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_873,19165,"Shelby County, Iowa",619400,420.2270254,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_868,19155,"Pottawattamie County, Iowa",827070,397.6839487,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_833,19085,"Harrison County, Iowa",580805,413.1178117,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_855,19129,"Mills County, Iowa",398925,396.3153503,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_826,19071,"Fremont County, Iowa",449039,426.2875851,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_663,17133,"Monroe County, Illinois",126298,426.6362168,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_603,17013,"Calhoun County, Illinois",23138,374.4015197,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_638,17083,"Jersey County, Illinois",163781,419.0143626,2001,
