system:index,FIPS formula,Geographic Name,count,mean,year,.geo
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_887,19193,"Woodbury County, Iowa",594346,1467.760358,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_671,17149,"Pike County, Illinois",393565,1488.547023,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_681,17169,"Schuyler County, Illinois",172060,1580.720563,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_639,17085,"Jo Daviess County, Illinois",56047,1578.666801,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_677,17161,"Rock Island County, Illinois",124009,1581.924756,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_812,19043,"Clayton County, Iowa",66536,1602.590688,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_604,17015,"Carroll County, Illinois",161940,1585.080546,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_659,17125,"Mason County, Illinois",380019,1428.087932,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_653,17113,"McLean County, Illinois",794907,1616.942483,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_642,17091,"Kankakee County, Illinois",620519,1575.318853,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_695,17197,"Will County, Illinois",412185,1456.916049,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_646,17099,"LaSalle County, Illinois",1171942,1700.42722,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_612,17031,"Cook County, Illinois",21763,1287.403913,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_645,17097,"Lake County, Illinois",60542,1410.20685,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_683,17173,"Shelby County, Illinois",539190,1556.035489,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_850,19119,"Lyon County, Iowa",666983,1525.562516,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_862,19143,"Osceola County, Iowa",472047,1293.666285,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_861,19141,"O'Brien County, Iowa",681210,1466.447054,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_808,19035,"Cherokee County, Iowa",538942,1522.7966,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_874,19167,"Sioux County, Iowa",826852,1542.112425,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_865,19149,"Plymouth County, Iowa",723280,1474.500936,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_857,19133,"Monona County, Iowa",416803,1434.76307,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_837,19093,"Ida County, Iowa",448126,1550.675917,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_814,19047,"Crawford County, Iowa",717643,1482.141785,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_873,19165,"Shelby County, Iowa",668109,1467.569353,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_868,19155,"Pottawattamie County, Iowa",932274,1468.432778,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_833,19085,"Harrison County, Iowa",550528,1478.674462,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_855,19129,"Mills County, Iowa",410240,1208.759812,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_826,19071,"Fremont County, Iowa",453888,1283.350976,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_663,17133,"Monroe County, Illinois",66077,1493.804397,2001,
