system:index,FIPS formula,Geographic Name,count,mean,year,.geo
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_887,19193,"Woodbury County, Iowa",145150,380.3449473,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_671,17149,"Pike County, Illinois",129635,364.1923497,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_681,17169,"Schuyler County, Illinois",41490,381.1613063,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_639,17085,"Jo Daviess County, Illinois",20409,442.6890184,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_677,17161,"Rock Island County, Illinois",41938,412.6449967,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_812,19043,"Clayton County, Iowa",13671,408.6954355,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_604,17015,"Carroll County, Illinois",41219,428.7138637,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_659,17125,"Mason County, Illinois",88062,343.4783441,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_653,17113,"McLean County, Illinois",4261,383.5206078,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_642,17091,"Kankakee County, Illinois",138911,422.4459595,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_695,17197,"Will County, Illinois",79635,406.1415252,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_646,17099,"LaSalle County, Illinois",121960,447.431444,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_612,17031,"Cook County, Illinois",7341,360.7762184,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_645,17097,"Lake County, Illinois",1,326.8123169,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_683,17173,"Shelby County, Illinois",31170,342.9669455,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_850,19119,"Lyon County, Iowa",146389,405.4578929,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_862,19143,"Osceola County, Iowa",160180,366.1350331,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_861,19141,"O'Brien County, Iowa",171966,406.5142658,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_808,19035,"Cherokee County, Iowa",99265,412.2331614,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_874,19167,"Sioux County, Iowa",171466,411.5797622,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_865,19149,"Plymouth County, Iowa",150028,396.4969292,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_857,19133,"Monona County, Iowa",144003,368.35271,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_soybean_doy_2001_837,19093,"Ida County, Iowa",179745,424.1588018,2001,
